short_label,category_number,prompt_label,xml_prompt_label
Global warming is not happening,1_0_0,"Global warming is not happing. Climate change is NOT leading to melting ice (such as glaciers, sea ice, and permafrost), increased extreme weather, or rising sea levels. Cold weather also shows that climate change is not happening.","<1_0_0>Global warming is not happing. Climate change is NOT leading to melting ice (such as glaciers, sea ice, and permafrost), increased extreme weather, or rising sea levels. Cold weather also shows that climate change is not happening.</1_0_0>"
Ice/permafrost/snow cover isn't melting,1_1_0,"Climate change is NOT causing melting ice (e.g., glaciers or sea ice), thawing permafrost, or reduced snow cover.  ","<1_1_0>Climate change is NOT causing melting ice (e.g., glaciers or sea ice), thawing permafrost, or reduced snow cover.  </1_1_0>"
Antarctica is gaining ice/not warming,1_1_1,Antarctica is gaining ice.,<1_1_1>Antarctica is gaining ice.</1_1_1>
Greenland is gaining ice/not melting,1_1_2,Greenland is gaining ice.,<1_1_2>Greenland is gaining ice.</1_1_2>
Arctic sea ice isn't vanishing,1_1_3,Arctic sea ice is not vanishing.,<1_1_3>Arctic sea ice is not vanishing.</1_1_3>
Glaciers aren't vanishing,1_1_4,Glaciers are not melting and may be gaining mass.,<1_1_4>Glaciers are not melting and may be gaining mass.</1_1_4>
We're heading into an ice age/global cooling,1_2_0,We are heading into a period of global cooling or an ice age.,<1_2_0>We are heading into a period of global cooling or an ice age.</1_2_0>
Weather is cold/snowing,1_3_0,"We are experiencing cold weather, therefore climate change is not happening.","<1_3_0>We are experiencing cold weather, therefore climate change is not happening.</1_3_0>"
Climate hasn't warmed/changed over the last (few) decade(s),1_4_0,There has been a hiatus or pause in global warming. The climate has not warmed or changed very much over the past few decades.,<1_4_0>There has been a hiatus or pause in global warming. The climate has not warmed or changed very much over the past few decades.</1_4_0>
Oceans are cooling/not warming,1_5_0,Oceans are not warming and may even be cooling.,<1_5_0>Oceans are not warming and may even be cooling.</1_5_0>
Sea level rise is exaggerated/not accelerating,1_6_0,Sea level rise is exaggerated and not accelerating.,<1_6_0>Sea level rise is exaggerated and not accelerating.</1_6_0>
Extreme weather isn't increasing/has happened before/isn't linked to climate change,1_7_0,"Climate change does not cause or worsen extreme weather events such as heatwaves, droughts, wildfires and floods.","<1_7_0>Climate change does not cause or worsen extreme weather events such as heatwaves, droughts, wildfires and floods.</1_7_0>"
They changed the name from 'global warming' to 'climate change',1_8_0,Climate advocates and alarmist changed the name from global warming to climate change so that cold weather as well as hot can be taken as evidence.,<1_8_0>Climate advocates and alarmist changed the name from global warming to climate change so that cold weather as well as hot can be taken as evidence.</1_8_0>
Ocean pH is not falling,1_9_0,Oceans are not becoming more acidic and ocean pH is not falling.,<1_9_0>Oceans are not becoming more acidic and ocean pH is not falling.</1_9_0>
Human greenhouse gases are not causing climate change,2_0_0,Greenhouse gases from humans are not the causing climate change.,<2_0_0>Greenhouse gases from humans are not the causing climate change.</2_0_0>
It's natural cycles/variation,2_1_0,"Humans are not the causing change. Instead, climate change is due to natural variation.","<2_1_0>Humans are not the causing change. Instead, climate change is due to natural variation.</2_1_0>"
It's the sun/cosmic rays/astronomical,2_1_1,"The sun, cosmic rays, or other astronomical phenomena are causing climate change.","<2_1_1>The sun, cosmic rays, or other astronomical phenomena are causing climate change.</2_1_1>"
It's geological (includes volcanoes),2_1_2,Geological events such as volcanic activity are causing climate change.,<2_1_2>Geological events such as volcanic activity are causing climate change.</2_1_2>
It's the ocean/internal variability,2_1_3,"Natural ocean variability is causing climate change, not manmade factors. This natural variability includes El Nino and La Nina climate patterns. ","<2_1_3>Natural ocean variability is causing climate change, not manmade factors. This natural variability includes El Nino and La Nina climate patterns. </2_1_3>"
Climate has changed naturally/been warm in the past,2_1_4,"Climate has changed naturally and/or it's been warm in the past, so we shouldn't worry too much about recent climate change.","<2_1_4>Climate has changed naturally and/or it's been warm in the past, so we shouldn't worry too much about recent climate change.</2_1_4>"
"It's non-greenhouse gas human climate forcings (aerosols, land use)",2_2_0,"Non-greenhouse gas human climate forcings such as from aerosols, changes land use, or black soot on snow are causing climate change.","<2_2_0>Non-greenhouse gas human climate forcings such as from aerosols, changes land use, or black soot on snow are causing climate change.</2_2_0>"
There's no evidence for greenhouse effect/carbon dioxide driving climate change,2_3_0,There's no evidence for greenhouse effect or carbon dioxide driving climate change,<2_3_0>There's no evidence for greenhouse effect or carbon dioxide driving climate change</2_3_0>
Carbon dioxide is just a trace gas,2_3_1,CO2 is just a trace gas and so can't cause climate change.,<2_3_1>CO2 is just a trace gas and so can't cause climate change.</2_3_1>
Greenhouse effect is saturated/logarithmic,2_3_2,The greenhouse effect is saturated (or logarithmic) and therefore will have little effect on climate.,<2_3_2>The greenhouse effect is saturated (or logarithmic) and therefore will have little effect on climate.</2_3_2>
Carbon dioxide lags/not correlated with climate change,2_3_3,"Temparature changes drive carbon dioxide, not the other way around.","<2_3_3>Temparature changes drive carbon dioxide, not the other way around.</2_3_3>"
Water vapor is the most powerful greenhouse gas,2_3_4,Naturally occurring water vapor is the most powerful greenhouse gas.,<2_3_4>Naturally occurring water vapor is the most powerful greenhouse gas.</2_3_4>
There's no tropospheric hot spot,2_3_5,There's no tropospheric hot spot.,<2_3_5>There's no tropospheric hot spot.</2_3_5>
CO2 is not rising.,2_3_6,CO2 is not rising.,<2_3_6>CO2 is not rising.</2_3_6>
CO2 was higher in the past,2_3_6_1,CO2 concentrations were higher in the past,<2_3_6_1>CO2 concentrations were higher in the past</2_3_6_1>
Human CO2 emissions are miniscule/not raising atmospheric CO2,2_3_6_2,CO2 emissions from humans are tiny and/or not raising atmospheric CO2,<2_3_6_2>CO2 emissions from humans are tiny and/or not raising atmospheric CO2</2_3_6_2>
Climate impacts/global warming is beneficial/not bad,3_0_0,The impacts of climate change will not be bad and might even be beneficial.,<3_0_0>The impacts of climate change will not be bad and might even be beneficial.</3_0_0>
Climate sensitivity is low/negative feedbacks reduce warming,3_1_0,Climate sensitivity is low and there are negative feedbacks that will reduce warming.,<3_1_0>Climate sensitivity is low and there are negative feedbacks that will reduce warming.</3_1_0>
Species/plants/reefs aren't showing climate impacts yet/are benefiting from climate change,3_2_0,Plants and animals are not showing harmful impacts from climate change and may be benefiting from climate change,<3_2_0>Plants and animals are not showing harmful impacts from climate change and may be benefiting from climate change</3_2_0>
Species can adapt to global warming,3_2_1,Plants and animals will adapt to climate change and therefore the impacts will be minimal.,<3_2_1>Plants and animals will adapt to climate change and therefore the impacts will be minimal.</3_2_1>
Polar bears are not in danger from climate change,3_2_2,Polar bears are not in danger from climate change.,<3_2_2>Polar bears are not in danger from climate change.</3_2_2>
