text,true_claims
The University of Alaska at Fairbanks shows how warmer Atlantic waters make their way into the arctic increasing ice melt (from the bottom) and air temperatures.,['0_0_0']
"This indisputable fact is the best evidence that atmospheric global warming is not having a measurable effect on Antarcticas ice sheets and glaciers, and that the western portion of the continent is losing mass solely from powerful geothermal processes.","['1_1_1,', '2_1_2']"
"..:: Every day, 20 MILLION TONS of that CO2 are absorbed into the OCEANS, thereby increasing the overall ACIDITY of the OCEANS.",['0_0_0']
"Atmospheric carbon dioxide (CO2) is one of the most important greenhouse gases and the increase of its abundance in the atmosphere by fossil fuel burning is the main cause of future global warming. In past times, during the transition between an ice age and a warm period, atmospheric CO2 concentrations changed by some 100 parts per million (ppm) from an ice age value of 180 ppm to about 280 ppm during warm periods.",['0_0_0']
Many are losing faith in climate policies that seem to hurt the economy more than they help the environment.,"['4_1_1,', '4_3_3']"
"The report of the Arctic Monitoring and Assessment Program (AMAP), the scientific arm of the eight-nation Arctic Council, says Greenland was losing ice in the 2004-2009 period four times faster than in 1995-2000.",['0_0_0']
"The changes we see are dramatic. And they are not coincidental. The trends are unequivocal and deviate from the norm when compared with a longer term perspective, she says.",['0_0_0']
"Now, there's a lot of creative things. But they are little niche players. They are little niche markets. They are not huge volumes. So it is important that Americans understand that whether we like it or not, fossil fuels are going to be our major energy source a lot longer than we want them. If we continue to not produce our own, then we are going to have to buy them from foreign countries.","['7_3_0,', '7_2_2']"
"Since 1993 or so, we have added several million historical temperature profiles. This collection allowed us for the first time to estimate the change in ocean heat content from 1955 on. When we first published these results in 2000, they received a great deal of media, congressional, and scientific attention, because the warming that we saw was consistent with what would have been expected due to the increased greenhouse gases in the atmosphere, recalls Levitus.",['0_0_0']
The greatest losses were due to the rapid retreat of Arctic Sea ice and to the collapse and thinning of ice shelves at the Antarctic Peninsula and in the Amundsen Sea.,['0_0_0']
"Britons are more likely to agree the climate is changing than at any time in recent years, with nearly nine in 10 people saying climate change is happening and 84% attributing this somewhat or entirely to human activity, new research has found. Two-thirds say they are concerned by global warming.",['0_0_0']
Yet Gore has received a Nobel Prize for a book (and film) that even sympathizers can see is filled with factual errors.  Gore's book and film are so tendentious and inaccurate that they do little to advance his position.,['6_1_3']
"IT MAY be time to stop describing south-eastern Australia as gripped by drought and instead accept the extreme dry as permanent, one of the nations most senior weather experts warned yesterday.",['0_0_0']
"From the foregoing, it is clear that CO 2 is the key atmospheric gas that exerts principal control (80% of the non-condensing GHG forcing) over the strength of the terrestrial greenhouse effect. Water vapor and clouds are fast-acting feedback effects, and as such, they are controlled by the radiative forcing supplied by the non-condensing GHGs.",['0_0_0']
